species,condition,pH,replicate,day,count,dilution,total.CFUs,measured.pH,class,log.CFUs
JB370,alone,5,1,0,30,0.05,1500,5.86,fungi,3.1760912590556813
JB370,BC9,5,1,0,30,0.05,1500,5.86,fungi,3.1760912590556813
JB370,BC10,5,1,0,30,0.05,1500,5.86,fungi,3.1760912590556813
JB370,JB5,5,1,0,30,0.05,1500,5.86,fungi,3.1760912590556813
JB370,JB7,5,1,0,30,0.05,1500,5.86,fungi,3.1760912590556813
JB370,135E,5,1,0,30,0.05,1500,5.86,fungi,3.1760912590556813
JB370,JBC,5,1,0,30,0.05,1500,5.86,fungi,3.1760912590556813
JB370,community,5,1,0,30,0.05,1500,5.86,fungi,3.1760912590556813
BC9,alone,7,1,0,140,0,350,7.1,bacteria,2.5440680443502757
BC9,BC10,7,1,0,140,0,350,7.1,bacteria,2.5440680443502757
BC9,JB5,7,1,0,140,0,350,7.1,bacteria,2.5440680443502757
BC9,JB7,7,1,0,140,0,350,7.1,bacteria,2.5440680443502757
BC9,135E,7,1,0,140,0,350,7.1,bacteria,2.5440680443502757
BC9,JBC,7,1,0,140,0,350,7.1,bacteria,2.5440680443502757
BC9,JB370,7,1,0,140,0,350,7.1,bacteria,2.5440680443502757
BC9,community,7,1,0,140,0,350,7.1,bacteria,2.5440680443502757
BC10,alone,7,1,0,87,0,218,7.1,bacteria,2.3384564936046046
BC10,BC9,7,1,0,87,0,218,7.1,bacteria,2.3384564936046046
BC10,JB5,7,1,0,87,0,218,7.1,bacteria,2.3384564936046046
BC10,JB7,7,1,0,87,0,218,7.1,bacteria,2.3384564936046046
BC10,135E,7,1,0,87,0,218,7.1,bacteria,2.3384564936046046
BC10,JBC,7,1,0,87,0,218,7.1,bacteria,2.3384564936046046
BC10,JB370,7,1,0,87,0,218,7.1,bacteria,2.3384564936046046
BC10,community,7,1,0,87,0,218,7.1,bacteria,2.3384564936046046
JB5,alone,7,1,0,84,0,210,7.1,bacteria,2.322219294733919
JB5,BC9,7,1,0,84,0,210,7.1,bacteria,2.322219294733919
JB5,BC10,7,1,0,84,0,210,7.1,bacteria,2.322219294733919
JB5,JB7,7,1,0,84,0,210,7.1,bacteria,2.322219294733919
JB5,135E,7,1,0,84,0,210,7.1,bacteria,2.322219294733919
JB5,JBC,7,1,0,84,0,210,7.1,bacteria,2.322219294733919
JB5,JB370,7,1,0,84,0,210,7.1,bacteria,2.322219294733919
JB5,community,7,1,0,84,0,210,7.1,bacteria,2.322219294733919
JB7,alone,7,1,0,98,0,245,7.1,bacteria,2.3891660843645326
JB7,BC9,7,1,0,98,0,245,7.1,bacteria,2.3891660843645326
JB7,BC10,7,1,0,98,0,245,7.1,bacteria,2.3891660843645326
JB7,JB5,7,1,0,98,0,245,7.1,bacteria,2.3891660843645326
JB7,135E,7,1,0,98,0,245,7.1,bacteria,2.3891660843645326
JB7,JBC,7,1,0,98,0,245,7.1,bacteria,2.3891660843645326
JB7,JB370,7,1,0,98,0,245,7.1,bacteria,2.3891660843645326
JB7,community,7,1,0,98,0,245,7.1,bacteria,2.3891660843645326
135E,alone,7,1,0,270,0,675,7.1,fungi,2.829303772831025
135E,BC9,7,1,0,270,0,675,7.1,fungi,2.829303772831025
135E,BC10,7,1,0,270,0,675,7.1,fungi,2.829303772831025
135E,JB5,7,1,0,270,0,675,7.1,fungi,2.829303772831025
135E,JB7,7,1,0,270,0,675,7.1,fungi,2.829303772831025
135E,JBC,7,1,0,270,0,675,7.1,fungi,2.829303772831025
135E,JB370,7,1,0,270,0,675,7.1,fungi,2.829303772831025
135E,community,7,1,0,270,0,675,7.1,fungi,2.829303772831025
JBC,alone,7,1,0,26,-1,650,7.1,fungi,2.8129133566428557
JBC,BC9,7,1,0,26,-1,650,7.1,fungi,2.8129133566428557
JBC,BC10,7,1,0,26,-1,650,7.1,fungi,2.8129133566428557
JBC,JB5,7,1,0,26,-1,650,7.1,fungi,2.8129133566428557
JBC,JB7,7,1,0,26,-1,650,7.1,fungi,2.8129133566428557
JBC,135E,7,1,0,26,-1,650,7.1,fungi,2.8129133566428557
JBC,JB370,7,1,0,26,-1,650,7.1,fungi,2.8129133566428557
JBC,community,7,1,0,26,-1,650,7.1,fungi,2.8129133566428557
JB370,alone,7,1,0,30,-1,750,7.1,fungi,2.8750612633917
JB370,BC9,7,1,0,30,-1,750,7.1,fungi,2.8750612633917
JB370,BC10,7,1,0,30,-1,750,7.1,fungi,2.8750612633917
JB370,JB5,7,1,0,30,-1,750,7.1,fungi,2.8750612633917
JB370,JB7,7,1,0,30,-1,750,7.1,fungi,2.8750612633917
JB370,135E,7,1,0,30,-1,750,7.1,fungi,2.8750612633917
JB370,JBC,7,1,0,30,-1,750,7.1,fungi,2.8750612633917
JB370,community,7,1,0,30,-1,750,7.1,fungi,2.8750612633917
BC9,alone,5,1,3,1612,-2,1610000,6.01,bacteria,6.20682587603185
BC9,BC10,5,1,3,67,-4,6700000,6.2,bacteria,6.826074802700826
BC9,JB5,5,1,3,128,-3,1280000,6.05,bacteria,6.107209969647869
BC9,JB7,5,1,3,257,-3,2570000,6.02,bacteria,6.409933123331294
BC9,135E,5,1,3,353,-4,35300000,6.59,bacteria,7.547774705387822
BC9,JBC,5,1,3,512,-4,51200000,6.17,bacteria,7.70926996097583
BC9,JB370,5,1,3,67,-4,6700000,5.95,bacteria,6.826074802700826
BC9,community,5,1,3,9,-5,9000000,6.65,bacteria,6.954242509439325
BC10,alone,5,1,3,696,-4,69600000,6.12,bacteria,7.842609239610562
BC10,BC9,5,1,3,792,-4,79200000,6.2,bacteria,7.898725181589493
BC10,JB5,5,1,3,754,-4,75400000,6.1,bacteria,7.877371345869774
BC10,JB7,5,1,3,1050,-4,105000000,6.12,bacteria,8.021189299069938
BC10,135E,5,1,3,7,-4,700000,5.97,bacteria,5.845098040014257
BC10,JBC,5,1,3,82,-5,82000000,6.17,bacteria,7.913813852383717
BC10,JB370,5,1,3,103,-5,103000000,6.12,bacteria,8.012837224705173
BC10,community,5,1,3,47,-5,47000000,6.65,bacteria,7.672097857935717
JB5,alone,5,1,3,47,0,470,6.08,bacteria,2.6720978579357175
JB5,BC9,5,1,3,7,-1,700,6.05,bacteria,2.845098040014257
JB5,BC10,5,1,3,65,-1,6500,6.1,bacteria,3.8129133566428557
JB5,JB7,5,1,3,45,0,450,6.03,bacteria,2.6532125137753435
JB5,135E,5,1,3,432,-2,432000,6.55,bacteria,5.635483746814912
JB5,JBC,5,1,3,120,0,1200,6.19,bacteria,3.0791812460476247
JB5,community,5,1,3,84,-3,840000,6.65,bacteria,5.924279286061882
JB7,alone,5,1,3,16,0,160,6.09,bacteria,2.2041199826559246
JB7,BC9,5,1,3,2,-1,200,6.02,bacteria,2.3010299956639813
JB7,BC10,5,1,3,3,-1,300,6.12,bacteria,2.4771212547196626
JB7,JB5,5,1,3,9,0,90,6.03,bacteria,1.954242509439325
JB7,135E,5,1,3,301,-2,301000,6.69,bacteria,5.478566495593843
JB7,JBC,5,1,3,25,0,250,6.21,bacteria,2.3979400086720375
JB7,JB370,5,1,3,12,0,120,6.03,bacteria,2.0791812460476247
JB7,community,5,1,3,34,-3,340000,6.65,bacteria,5.531478917042255
135E,alone,5,1,3,117,-4,11700000,6.53,fungi,7.068185861746161
135E,BC9,5,1,3,1500,-3,15000000,6.59,fungi,7.176091259055681
135E,BC10,5,1,3,4,-2,4000,5.97,fungi,3.6020599913279625
135E,JB5,5,1,3,142,-4,14200000,6.55,fungi,7.152288344383057
135E,JB7,5,1,3,144,-4,14400000,6.69,fungi,7.158362492095249
135E,JBC,5,1,3,131,-4,13100000,6.59,fungi,7.117271295655764
135E,JB370,5,1,3,151,-4,15100000,6.65,fungi,7.17897694729317
135E,community,5,1,3,141,-4,14100000,6.65,fungi,7.14921911265538
JBC,alone,5,1,3,133,-1,13300,6.08,fungi,4.123851640967086
JBC,BC9,5,1,3,204,0,2040,6.17,fungi,3.3096301674258988
JBC,BC10,5,1,3,82,0,820,6.17,fungi,2.9138138523837167
JBC,JB5,5,1,3,112,-1,11200,6.19,fungi,4.049218022670182
JBC,JB7,5,1,3,75,-1,7500,6.21,fungi,3.8750612633917
JBC,135E,5,1,3,39,0,390,6.59,fungi,2.591064607026499
JBC,JB370,5,1,3,130,-1,13000,6.06,fungi,4.113943352306837
JBC,community,5,1,3,19,0,190,6.65,fungi,2.278753600952829
JB370,alone,5,1,3,86,0,860,5.96,fungi,2.934498451243568
JB370,BC9,5,1,3,79,0,790,5.95,fungi,2.8976270912904414
JB370,BC10,5,1,3,18,0,180,6.12,fungi,2.255272505103306
JB370,JB7,5,1,3,154,0,1540,6.03,fungi,3.187520720836463
JB370,135E,5,1,3,7,0,70,6.65,fungi,1.845098040014257
JB370,JBC,5,1,3,1,-1,100,6.06,fungi,2
JB370,community,5,1,3,6,0,60,6.65,fungi,1.7781512503836436
BC9,BC10,7,1,3,36,-5,36000000,7.22,bacteria,7.556302500767287
BC9,JB5,7,1,3,244,-5,244000000,7.2,bacteria,8.38738982633873
BC9,JB7,7,1,3,270,-5,270000000,7.17,bacteria,8.431363764158988
BC9,135E,7,1,3,168,-5,168000000,7.18,bacteria,8.225309281725863
BC9,JBC,7,1,3,496,-5,496000000,6.98,bacteria,8.695481676490198
BC9,JB370,7,1,3,398,-5,398000000,7.16,bacteria,8.599883072073688
BC9,community,7,1,3,78,-5,78000000,7.13,bacteria,7.892094602690481
BC10,alone,7,1,3,257,-5,257000000,7.2,bacteria,8.409933123331294
BC10,BC9,7,1,3,162,-5,162000000,7.22,bacteria,8.209515014542632
BC10,JB5,7,1,3,115,-5,115000000,7.14,bacteria,8.060697840353612
BC10,JB7,7,1,3,188,-5,188000000,7.16,bacteria,8.27415784926368
BC10,135E,7,1,3,205,-5,205000000,7.26,bacteria,8.311753861055754
BC10,JBC,7,1,3,52,-6,520000000,7.03,bacteria,8.7160033436348
BC10,JB370,7,1,3,139,-5,139000000,7.15,bacteria,8.143014800254095
BC10,community,7,1,3,194,-5,194000000,7.13,bacteria,8.287801729930226
JB5,alone,7,1,3,696,-3,6960000,7.19,bacteria,6.842609239610562
JB5,BC9,7,1,3,225,-3,2250000,7.2,bacteria,6.352182518111363
JB5,BC10,7,1,3,137,-3,1370000,7.14,bacteria,6.136720567156407
JB5,JB7,7,1,3,104,-4,10400000,7.1,bacteria,7.017033339298781
JB5,135E,7,1,3,200,-4,20000000,7.12,bacteria,7.301029995663981
JB5,JBC,7,1,3,252,-4,25200000,6.72,bacteria,7.401400540781544
JB5,JB370,7,1,3,830,-4,83000000,7.14,bacteria,7.919078092376074
JB5,community,7,1,3,174,-4,17400000,7.13,bacteria,7.2405492482825995
JB7,alone,7,1,3,263,-4,26300000,7.16,bacteria,7.419955748489758
JB7,BC9,7,1,3,43,-4,4300000,7.17,bacteria,6.633468455579586
JB7,BC10,7,1,3,24,-4,2400000,7.16,bacteria,6.380211241711606
JB7,JB5,7,1,3,43,-5,43000000,7.1,bacteria,7.633468455579586
JB7,135E,7,1,3,213,-4,21300000,7.12,bacteria,7.328379603438738
JB7,JBC,7,1,3,156,-5,156000000,6.76,bacteria,8.193124598354462
JB7,JB370,7,1,3,148,-5,148000000,7.09,bacteria,8.170261715394957
JB7,community,7,1,3,20,-5,20000000,7.13,bacteria,7.301029995663981
135E,alone,7,1,3,326,-3,3260000,7.07,fungi,6.513217600067939
135E,BC9,7,1,3,286,-3,2860000,7.18,fungi,6.456366033129043
135E,BC10,7,1,3,37,-4,3700000,7.26,fungi,6.568201724066995
135E,JB5,7,1,3,295,-3,2950000,7.12,fungi,6.469822015978163
135E,JB7,7,1,3,43,-4,4300000,7.12,fungi,6.633468455579586
135E,JBC,7,1,3,294,-3,2940000,6.74,fungi,6.468347330412158
135E,community,7,1,3,74,-4,7400000,7.13,fungi,6.869231719730976
JBC,alone,7,1,3,56,-1,5600,6.67,fungi,3.7481880270062002
JBC,BC9,7,1,3,52,0,520,6.98,fungi,2.716003343634799
JBC,BC10,7,1,3,37,-1,3700,7.03,fungi,3.568201724066995
JBC,JB5,7,1,3,61,-1,6100,6.72,fungi,3.785329835010767
JBC,JB7,7,1,3,36,-1,3600,6.76,fungi,3.5563025007672873
JBC,135E,7,1,3,68,-1,6800,6.74,fungi,3.832508912706236
JBC,JB370,7,1,3,37,-1,3700,6.77,fungi,3.568201724066995
JBC,community,7,1,3,19,0,190,7.13,fungi,2.278753600952829
JB370,alone,7,1,3,133,0,1330,7.14,fungi,3.123851640967086
JB370,BC9,7,1,3,79,0,790,7.16,fungi,2.8976270912904414
JB370,BC10,7,1,3,30,0,300,7.15,fungi,2.4771212547196626
JB370,JB5,7,1,3,93,0,930,7.14,fungi,2.9684829485539352
JB370,JB7,7,1,3,69,0,690,7.09,fungi,2.838849090737255
JB370,135E,7,1,3,14,0,140,7.07,fungi,2.146128035678238
JB370,JBC,7,1,3,3,0,30,6.77,fungi,1.4771212547196624
JB370,community,7,1,3,16,0,160,7.13,fungi,2.2041199826559246
BC9,BC10,5,1,10,4,-5,4000000,6.44,bacteria,6.6020599913279625
BC9,JB5,5,1,10,28,-5,28000000,5.96,bacteria,7.447158031342219
BC9,135E,5,1,10,95,-5,95000000,6.73,bacteria,7.977723605288848
BC9,JBC,5,1,10,13,-5,13000000,6.63,bacteria,7.113943352306837
BC9,JB370,5,1,10,57,-6,570000000,7.43,bacteria,8.755874855672491
BC9,community,5,1,10,24,-4,2400000,6.37,bacteria,6.380211241711606
BC10,alone,5,1,10,77,-5,77000000,6.41,bacteria,7.886490725172482
BC10,BC9,5,1,10,61,-5,61000000,6.44,bacteria,7.785329835010767
BC10,JB5,5,1,10,77,-5,77000000,6.45,bacteria,7.886490725172482
BC10,JB7,5,1,10,96,-5,96000000,6.47,bacteria,7.982271233039568
BC10,135E,5,1,10,53,-5,53000000,6.76,bacteria,7.724275869600789
BC10,JBC,5,1,10,37,-5,37000000,6.51,bacteria,7.568201724066995
BC10,JB370,5,1,10,299,-5,299000000,7.26,bacteria,8.47567118832443
BC10,community,5,1,10,210,-4,21000000,6.37,bacteria,7.3222192947339195
JB5,alone,5,1,10,139,-1,13900,5.71,bacteria,4.143014800254095
JB5,BC9,5,1,10,16,-1,1600,5.96,bacteria,3.2041199826559246
JB5,BC10,5,1,10,23,-5,23000000,6.45,bacteria,7.361727836017593
JB5,JB7,5,1,10,105,-1,10500,5.94,bacteria,4.021189299069938
JB5,135E,5,1,10,1000,-5,1000000000,6.86,bacteria,9
JB5,JBC,5,1,10,1,0,10,6.55,bacteria,1
JB5,JB370,5,1,10,243,-4,24300000,7.1,bacteria,7.385606273598312
JB5,community,5,1,10,10,-5,10000000,6.37,bacteria,7
JB7,alone,5,1,10,3,-1,300,5.95,bacteria,2.4771212547196626
JB7,BC9,5,1,10,2,-1,200,5.95,bacteria,2.3010299956639813
JB7,BC10,5,1,10,23,-5,23000000,6.47,bacteria,7.361727836017593
JB7,JB5,5,1,10,12,0,120,5.94,bacteria,2.0791812460476247
JB7,135E,5,1,10,1242,-5,1240000000,6.8,bacteria,9.093421685162236
JB7,JBC,5,1,10,6,0,60,6.65,bacteria,1.7781512503836436
JB7,JB370,5,1,10,462,-2,462000,7.07,bacteria,5.664641975556125
JB7,community,5,1,10,25,-4,2500000,6.37,bacteria,6.3979400086720375
135E,alone,5,1,10,121,-4,12100000,6.78,fungi,7.08278537031645
135E,BC9,5,1,10,148,-4,14800000,6.73,fungi,7.1702617153949575
135E,BC10,5,1,10,231,-4,23100000,6.76,fungi,7.363611979892144
135E,JB5,5,1,10,264,-4,26400000,6.86,fungi,7.421603926869831
135E,JB7,5,1,10,16,-4,1600000,6.8,fungi,6.204119982655925
135E,JBC,5,1,10,11,-4,1100000,6.29,fungi,6.041392685158225
135E,JB370,5,1,10,180,-4,18000000,7.38,fungi,7.2552725051033065
135E,community,5,1,10,144,-3,1440000,6.37,fungi,6.158362492095249
JBC,alone,5,1,10,45,-5,45000000,6.55,fungi,7.653212513775344
JBC,BC9,5,1,10,69,-5,69000000,6.63,fungi,7.838849090737256
JBC,BC10,5,1,10,41,-5,41000000,6.51,fungi,7.6127838567197355
JBC,JB5,5,1,10,47,-5,47000000,6.55,fungi,7.672097857935717
JBC,JB7,5,1,10,58,-5,58000000,6.65,fungi,7.763427993562937
JBC,135E,5,1,10,20,-5,20000000,6.29,fungi,7.301029995663981
JBC,JB370,5,1,10,43,-5,43000000,6.67,fungi,7.633468455579586
JBC,community,5,1,10,19,-5,19000000,6.37,fungi,7.278753600952829
JB370,alone,5,1,10,55,-3,550000,NA,fungi,5.740362689494244
JB370,BC9,5,1,10,102,-3,1020000,7.43,fungi,6.008600171761918
JB370,BC10,5,1,10,85,-3,850000,7.26,fungi,5.929418925714293
JB370,JB5,5,1,10,95,-3,950000,7.1,fungi,5.977723605288848
JB370,JB7,5,1,10,33,-4,3300000,7.07,fungi,6.518513939877887
JB370,135E,5,1,10,67,-2,67000,7.38,fungi,4.826074802700826
JB370,community,5,1,10,47,0,470,6.37,fungi,2.6720978579357175
BC9,alone,7,1,10,30,-6,300000000,7.47,bacteria,8.477121254719663
BC9,BC10,7,1,10,49,-5,49000000,7.44,bacteria,7.690196080028514
BC9,JB5,7,1,10,29,-6,290000000,7.55,bacteria,8.462397997898956
BC9,JB7,7,1,10,31,-6,310000000,7.53,bacteria,8.491361693834273
BC9,135E,7,1,10,189,-5,189000000,7.6,bacteria,8.276461804173245
BC9,JBC,7,1,10,NA,-5,0,6.69,bacteria,-Inf
BC9,JB370,7,1,10,152,-5,152000000,7.82,bacteria,8.181843587944773
BC9,community,7,1,10,39,-5,39000000,6.48,bacteria,7.5910646070264995
BC10,alone,7,1,10,222,-5,222000000,7.4,bacteria,8.346352974450639
BC10,BC9,7,1,10,195,-5,195000000,7.44,bacteria,8.290034611362518
BC10,JB5,7,1,10,251,-5,251000000,7.56,bacteria,8.399673721481038
BC10,JB7,7,1,10,228,-5,228000000,7.63,bacteria,8.357934847000454
BC10,135E,7,1,10,646,-5,646000000,7.64,bacteria,8.810232517995084
BC10,JBC,7,1,10,NA,-6,0,6.62,bacteria,-Inf
BC10,JB370,7,1,10,175,-5,175000000,7.78,bacteria,8.243038048686294
BC10,community,7,1,10,103,-5,103000000,6.48,bacteria,8.012837224705173
JB5,alone,7,1,10,209,-6,2090000000,7.56,bacteria,9.320146286111054
JB5,BC9,7,1,10,259,-6,2590000000,7.55,bacteria,9.413299764081252
JB5,BC10,7,1,10,114,-6,1140000000,7.56,bacteria,9.056904851336473
JB5,JB7,7,1,10,141,-6,1410000000,7.66,bacteria,9.14921911265538
JB5,135E,7,1,10,268,-6,2680000000,7.55,bacteria,9.42813479402879
JB5,JBC,7,1,10,17,-2,17000,6.99,bacteria,4.230448921378274
JB5,JB370,7,1,10,511,-5,511000000,7.79,bacteria,8.708420900134712
JB5,community,7,1,10,89,-5,89000000,6.48,bacteria,7.949390006644912
JB7,alone,7,1,10,191,-6,1910000000,7.56,bacteria,9.281033367247728
JB7,BC9,7,1,10,68,-6,680000000,7.53,bacteria,8.832508912706237
JB7,BC10,7,1,10,209,-6,2090000000,7.63,bacteria,9.320146286111054
JB7,JB5,7,1,10,163,-6,1630000000,7.66,bacteria,9.212187604403958
JB7,135E,7,1,10,274,-6,2740000000,7.63,bacteria,9.437750562820389
JB7,JBC,7,1,10,482,-4,48200000,6.95,bacteria,7.68304703823885
JB7,JB370,7,1,10,103,-6,1030000000,7.79,bacteria,9.012837224705173
JB7,community,7,1,10,21,-5,21000000,6.48,bacteria,7.3222192947339195
135E,alone,7,1,10,53,-4,5300000,7.21,fungi,6.724275869600789
135E,BC9,7,1,10,33,-4,3300000,7.6,fungi,6.518513939877887
135E,BC10,7,1,10,79,-4,7900000,7.64,fungi,6.897627091290442
135E,JB5,7,1,10,100,-4,10000000,7.55,fungi,7
135E,JB7,7,1,10,100,-4,10000000,7.63,fungi,7
135E,JBC,7,1,10,0,0,0,6.91,fungi,-Inf
135E,JB370,7,1,10,210,-3,2100000,7.68,fungi,6.3222192947339195
135E,community,7,1,10,2,-2,2000,6.48,fungi,3.3010299956639813
JBC,alone,7,1,10,293,-4,29300000,7.15,fungi,7.466867620354109
JBC,BC9,7,1,10,171,-4,17100000,6.69,fungi,7.232996110392154
JBC,BC10,7,1,10,238,-4,23800000,6.62,fungi,7.376576957056512
JBC,JB5,7,1,10,301,-4,30100000,6.99,fungi,7.478566495593843
JBC,JB7,7,1,10,292,-4,29200000,6.95,fungi,7.465382851448418
JBC,135E,7,1,10,36,-6,360000000,6.91,fungi,8.556302500767288
JBC,JB370,7,1,10,49,-5,49000000,6.96,fungi,7.690196080028514
JBC,community,7,1,10,16,-5,16000000,6.48,fungi,7.204119982655925
JB370,alone,7,1,10,16,-3,160000,7.71,fungi,5.204119982655925
JB370,BC9,7,1,10,16,-2,16000,7.82,fungi,4.204119982655925
JB370,BC10,7,1,10,81,-2,81000,7.78,fungi,4.9084850188786495
JB370,JB5,7,1,10,61,-2,61000,7.79,fungi,4.785329835010767
JB370,JB7,7,1,10,1,-3,10000,7.79,fungi,4
JB370,135E,7,1,10,21,-2,21000,7.68,fungi,4.3222192947339195
JB370,community,7,1,10,2,0,20,6.48,fungi,1.3010299956639813
BC9,alone,5,1,21,30,-5,30000000,5.91,bacteria,7.477121254719663
BC9,BC10,5,1,21,219,-4,21900000,6.57,bacteria,7.3404441148401185
BC9,JB5,5,1,21,35,-5,35000000,5.88,bacteria,7.544068044350276
BC9,JB7,5,1,21,28,-5,28000000,5.87,bacteria,7.447158031342219
BC9,135E,5,1,21,132,-5,132000000,6.51,bacteria,8.12057393120585
BC9,JBC,5,1,21,2,-5,2000000,7.06,bacteria,6.301029995663981
BC9,JB370,5,1,21,297,-5,297000000,6.63,bacteria,8.472756449317213
BC9,community,5,1,21,12,-4,1200000,7.09,bacteria,6.079181246047625
BC10,alone,5,1,21,94,-5,94000000,6.58,bacteria,7.973127853599698
BC10,BC9,5,1,21,87,-5,87000000,6.57,bacteria,7.939519252618618
BC10,JB7,5,1,21,102,-5,102000000,7,bacteria,8.008600171761918
BC10,JB370,5,1,21,130,-5,130000000,6.76,bacteria,8.113943352306837
BC10,community,5,1,21,190,-4,19000000,7.09,bacteria,7.278753600952829
JB5,alone,5,1,21,341,-4,34100000,5.8,bacteria,7.532754378992498
JB5,BC9,5,1,21,110,0,1100,5.88,bacteria,3.041392685158225
JB5,BC10,5,1,21,18,-5,18000000,5.82,bacteria,7.2552725051033065
JB5,JB7,5,1,21,242,-2,242000,5.84,bacteria,5.383815365980431
JB5,135E,5,1,21,86,-6,860000000,7.21,bacteria,8.934498451243568
JB5,JBC,5,1,21,128,0,1280,7,bacteria,3.1072099696478683
JB5,JB370,5,1,21,133,-5,133000000,6.79,bacteria,8.123851640967086
JB5,community,5,1,21,26,-4,2600000,7.09,bacteria,6.414973347970818
JB7,alone,5,1,21,7,0,70,5.83,bacteria,1.845098040014257
JB7,BC9,5,1,21,1,-1,100,5.87,bacteria,2
JB7,BC10,5,1,21,149,-6,1490000000,7,bacteria,9.173186268412275
JB7,JB5,5,1,21,16,-1,1600,5.84,bacteria,3.2041199826559246
JB7,135E,5,1,21,148,-6,1480000000,7.24,bacteria,9.170261715394957
JB7,JBC,5,1,21,10,0,100,7.11,bacteria,2
JB7,JB370,5,1,21,267,-4,26700000,6.87,bacteria,7.426511261364575
JB7,community,5,1,21,5,-4,500000,7.09,bacteria,5.698970004336019
135E,alone,5,1,21,277,-4,27700000,6.57,fungi,7.442479769064448
135E,BC9,5,1,21,336,-4,33600000,6.51,fungi,7.526339277389844
135E,JB5,5,1,21,164,-4,16400000,7.21,fungi,7.214843848047698
135E,JB7,5,1,21,164,-4,16400000,7.24,fungi,7.214843848047698
135E,JBC,5,1,21,10,-1,1000,7.24,fungi,3
135E,JB370,5,1,21,109,-4,10900000,6.68,fungi,7.037426497940624
135E,community,5,1,21,0,0,0,7.09,fungi,-Inf
JBC,alone,5,1,21,71,-5,71000000,7.08,fungi,7.8512583487190755
JBC,BC9,5,1,21,57,-5,57000000,7.06,fungi,7.7558748556724915
JBC,BC10,5,1,21,46,-5,46000000,7.08,fungi,7.662757831681574
